categoria_clusterizacion_numerica,probabilidad_aceptacion_optima,tasa_optima,Monto_Simulado_mean,Plazo_Simulado_mean,Plazo_Simulado_min,Plazo_Simulado_max,Plazo_Simulado_mode
102,0.537463170474422,1.1637637581082194,11049912.034593,27.34470038527748,10.0,45.0,29.0
35,0.49628353485487264,1.3078075546090298,4265037.921845416,27.568936397173207,8.0,48.0,29.0
33,0.5649495593594026,1.1666888399473032,24506762.71514194,27.518352686130456,8.0,49.0,30.0
95,0.4948552806460374,1.304801034567804,2314930.9314133576,27.439630240289752,8.0,49.0,29.0
106,0.5045000158474594,1.2567667410799108,510591.53160347865,27.458847268800092,9.0,47.0,30.0
30,0.5645513596724081,1.1666741667439071,25082738.840711307,27.593660499682287,8.0,52.0,30.0
78,0.6187602205203188,1.0871171100512629,24348206.103881713,27.40741314397369,8.0,48.0,30.0
19,0.5584408428576172,1.2162196434686021,701876.0465820867,27.657009404784446,9.0,50.0,31.0
83,0.4953738951544333,1.3108219874917233,4327159.717981165,27.56610237223741,8.0,50.0,30.0
89,0.49146172530221915,1.313815307356962,4354993.8290236285,27.452517194048966,8.0,48.0,30.0
75,0.6181982907162774,1.084108929112179,24813463.677696098,27.504644963244203,9.0,49.0,30.0
104,0.50035519539754,1.2537413432359235,2644862.398625633,27.60430674446847,9.0,48.0,30.0
47,0.5008553218638455,1.2537571085143102,2627535.725680568,27.426653815412102,8.0,48.0,30.0
86,0.4975978352646677,1.3078077511658421,4327878.097126112,27.51085415535751,8.0,49.0,30.0
34,0.46770406304229134,1.3843946827405977,756275.8516640747,27.6114256091239,7.0,50.0,30.0
88,0.47443711973564073,1.3633614561138998,747661.5233272803,27.45652325743819,8.0,48.0,30.0
73,0.5567828461808699,1.2222336462012493,694680.4337066686,27.37624432551465,9.0,50.0,30.0
41,0.5029676898936126,1.3018013869579836,2324933.0205099625,27.47059390136504,7.0,50.0,29.0
40,0.49603960615311155,1.3288425731443638,532697.8198896548,27.408767467042505,8.0,52.0,30.0
20,0.5647780365576727,1.1876983680673674,4123086.7527015046,27.47685339372544,8.0,49.0,30.0
77,0.5643546144062798,1.186191274172601,4143811.821144846,27.475715028601144,8.0,50.0,30.0
37,0.5012783465057877,1.325828314531135,522257.1113244695,27.50127609926837,8.0,51.0,30.0
42,0.5828371902326167,1.0976258538698234,13234187.249431534,27.464782873939328,9.0,47.0,27.0
31,0.48693679291275016,1.340844380572556,758816.896718726,27.58265991151307,9.0,48.0,30.0
49,0.5023934147750097,1.2612729878666378,496908.2251476844,27.545998824502156,8.0,50.0,31.0
87,0.5744427226973119,1.1576672661720582,28428921.380848475,27.54124652594345,9.0,51.0,30.0
98,0.5063257382165108,1.2867957089033708,2399510.002285465,27.46548568502309,8.0,49.0,30.0
46,0.5016445756510146,1.2612607906991906,505540.1442192805,27.4552412724326,8.0,50.0,31.0
25,0.5601479684744946,1.2087102196067523,709981.0881030438,27.443780694820592,9.0,49.0,30.0
90,0.6083529527763974,1.0647851724940416,13870671.935099624,27.444267975743575,10.0,48.0,31.0
21,0.6111576642355045,1.0855876389679615,22805996.38263789,27.624495976938093,9.0,49.0,30.0
28,0.4674384305056621,1.3843840908717522,765512.123029585,27.58785829466548,9.0,47.0,30.0
18,0.6239133312138095,1.0811117492681441,22852242.00183262,27.36602234051837,9.0,48.0,29.0
97,0.504126713225272,1.3228220059629157,548529.309222702,27.533158544108574,8.0,49.0,30.0
81,0.5699424713395117,1.1696849811679026,28335822.00891681,27.504431708966646,7.0,49.0,30.0
32,0.4988823223293032,1.30030180631723,4322604.23994923,27.472366743101414,8.0,49.0,29.0
74,0.5687168342557548,1.1891900247349534,4125397.2395970253,27.47987628772201,9.0,49.0,30.0
53,0.49926645911892475,1.2537551577385964,2590823.82035834,27.530862903976903,8.0,48.0,30.0
23,0.5694087674878392,1.1877162364172074,4112640.216838044,27.39998761127728,8.0,49.0,29.0
27,0.5654866978631666,1.1726745767799798,25016835.19739753,27.536093117179256,8.0,51.0,30.0
70,0.44782517062253807,1.4279848512047413,763774.8315581854,27.802366863905327,10.0,45.0,31.0
103,0.5034270994054316,1.2522640441813566,503807.00589240826,27.587551533433885,9.0,49.0,29.0
96,0.5991369067604442,1.075226395879311,13500503.830503782,27.29410407824322,10.0,47.0,30.0
92,0.502195543720673,1.2972946065566875,2398568.545598754,27.499370574923415,8.0,51.0,29.0
85,0.47808631893897785,1.3573664414285043,758724.2378017337,27.57377894555902,9.0,49.0,30.0
65,0.48709886244681794,1.318319094983491,4411555.9920816,27.812597861584575,8.0,46.0,31.0
63,0.5624791005850281,1.1819588200868933,29691630.814008635,27.379096491761416,8.0,49.0,30.0
36,0.592833058971661,1.0780969855254687,13526517.458344014,27.459346088415558,9.0,49.0,30.0
12,0.5885773695229614,1.1443628717562304,33628175.9286193,27.424932975871315,10.0,48.0,30.0
51,0.5315125618394164,1.186252392368931,11297123.6155454,27.674637758174796,9.0,48.0,30.0
100,0.5048899916821702,1.253782334402982,503175.9786028147,27.522341803052495,8.0,48.0,29.0
67,0.4562299395968876,1.3591906997308667,765338.8487229863,27.67013752455796,9.0,45.0,31.0
48,0.5158203313830276,1.2117138587879261,11151926.290900778,27.469318701417468,10.0,48.0,29.0
15,0.574847710226243,1.1291778411371245,28714779.72122571,26.93622321873443,10.0,47.0,25.0
39,0.5952474247882459,1.078109943728182,13638145.96800598,27.6237232641731,8.0,49.0,29.0
66,0.5692456149119435,1.1473442674749492,35943913.32408086,27.538074787891485,10.0,45.0,30.0
99,0.517479580704244,1.2012052262454416,11647512.256788695,27.7074711812087,9.0,48.0,30.0
14,0.5165152488072341,1.33052341311995,4172656.493416149,27.937639751552794,11.0,45.0,30.0
105,0.5320030612301226,1.1847004591962005,11289719.4397806,27.862355658198613,10.0,48.0,30.0
68,0.5040541525006303,1.3169471129290884,4226612.587218522,27.598794798604505,9.0,46.0,28.0
69,0.5731080010408304,1.1712172685074922,36239256.28882279,27.297667501565435,9.0,46.0,29.0
64,0.4598871863892781,1.3783456345537388,773966.0522644456,27.376158250910983,9.0,47.0,31.0
13,0.5395603777538394,1.2935707067707678,758969.8020643594,26.223436551305404,9.0,44.0,26.0
8,0.531475499066137,1.1844752547997728,4844701.96559633,29.5802752293578,10.0,44.0,32.0
6,0.6810500839363107,1.0033729151051518,59980977.13667426,28.80637813211845,14.0,45.0,28.0
45,0.5268526133656597,1.1922829805207655,11170776.634360136,27.622884636655236,9.0,48.0,31.0
