"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Renta Alta","2019-02","Ejecutivo=0, Correos=2",964,288,29.8755186721992,1.7536297492063,20478909.6493776,27.5331950207469,1.53925543790126,21678734.0416667,27.9583333333333,0.017536297492063,0.0153925543790126,1588567867.25255,1486704316.37324,0.935877117384047
"Renta Alta","2019-02","Ejecutivo=0, Correos=3",2686,809,30.1191362620998,1.75497081138066,22313235.4229337,27.4899478778853,1.50700961527338,22250976.381953,27.4944375772559,0.0175497081138066,0.0150700961527338,4858072433.58487,4119507527.8382,0.847971615112033
"Renta Alta","2019-02","Ejecutivo=0, Correos=4",4247,1267,29.832823169296,1.75561613611887,21783393.3875677,27.4480809983518,1.52560578144973,21980911.17206,27.3401736385162,0.0175561613611887,0.0152560578144973,7418887210.43935,6419603314.20203,0.86530542008629
"Renta Alta","2019-02","Ejecutivo=1, Correos=0",1925,569,29.5584415584416,1.74953371401154,25863823.1485714,27.6654545454545,1.45629554668921,25142519.2073814,27.6274165202109,0.0174953371401154,0.0145629554668921,3973615094.0745,3172936582.34481,0.798501240614957
"Renta Alta","2019-02","Ejecutivo=1, Correos=1",2102,596,28.3539486203616,1.75209857221714,25237401.4662226,27.6755470980019,1.48037999499005,25496697.8271812,27.4261744966443,0.0175209857221714,0.0148037999499005,4069275736.84962,3403747423.2458,0.836450425913122
"Renta Alta","2019-02","Ejecutivo=1, Correos=2",12781,3626,28.3702370706518,1.75452528941156,24832295.4697598,27.4095923636648,1.48000936095367,24220796.0551572,27.4633204633205,0.0175452528941156,0.0148000936095367,24152384113.5374,19693914326.0236,0.815402497469602
"Renta Alta","2019-03","Ejecutivo=0, Correos=0",1068,332,31.0861423220974,1.75740621802642,21733808.4588015,27.1779026217228,1.50789803735574,22310615.9789157,27.6144578313253,0.0175740621802642,0.0150789803735574,1921881562.5076,1703787030.01531,0.886520305544879
"Renta Alta","2019-03","Ejecutivo=0, Correos=1",1216,380,31.25,1.74821937992021,20978887.4975329,27.2878289473684,1.50119956279838,17222341.4263158,27.5631578947368,0.0174821937992021,0.0150119956279838,2120327831.87721,1495405175.23038,0.7052707382077
"Renta Alta","2019-03","Ejecutivo=0, Correos=2",1027,301,29.3086660175268,1.74942051082916,20774869.7244401,27.4868549172347,1.48124570584915,19744469.0099668,27.2558139534884,0.0174942051082916,0.0148124570584915,1677008455.1385,1323514110.77839,0.789211352347707
"Renta Alta","2019-03","Ejecutivo=0, Correos=3",2650,802,30.2641509433962,1.74579862394358,20992055.0226415,27.3777358490566,1.51455707943565,20745045.5386534,27.5972568578554,0.0174579862394358,0.0151455707943565,4486468056.20491,3842439545.8013,0.856450886903584
"Renta Alta","2019-03","Ejecutivo=0, Correos=4",4431,1339,30.2189122094335,1.74977126889692,21047503.4748364,27.4958248702325,1.51446986754769,19331260.3166542,27.5175504107543,0.0174977126889692,0.0151446986754769,7562263941.25279,5959909651.15261,0.788111827020582
"Renta Alta","2019-03","Ejecutivo=1, Correos=0",1849,509,27.5283937263386,1.74573722415133,23000946.9605192,27.7566252028123,1.50161721173103,22512896.0196464,28.0510805500982,0.0174573722415133,0.0150161721173103,3164599183.5563,2666895330.90682,0.842727680890643
