"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Propension alta","2023-05","Ejecutivo=1, Correos=1",3574,1160,32.4566312255176,1.74997487682568,8370023.87017347,27.4974818130946,1.53468611625014,7218610.61206897,27.5293103448276,0.0174997487682568,0.0153468611625014,2605772953.79479,1956211406.05996,0.750722123817858
"Propension alta","2023-05","Ejecutivo=1, Correos=2",21032,6738,32.0368961582351,1.74902712602095,8125398.53076265,27.4667173830354,1.53715038845976,7475290.81938261,27.4358860195904,0.0174902712602095,0.0153715038845976,14668013719.1311,11745811132.1454,0.800777212038306
"Propension alta","2023-06","Ejecutivo=0, Correos=0",2969,1019,34.3213203098686,1.74465695689759,6388464.2475581,27.8386662175817,1.57405560493222,5862370.00490677,27.7065750736016,0.0174465695689759,0.0157405560493222,1763882781.23059,1443174151.64304,0.818180304836468
"Propension alta","2023-06","Ejecutivo=0, Correos=1",3247,1079,33.2306744687404,1.75703812164276,5894542.197413,27.5759162303665,1.56947176207682,5405723.96941613,27.3873957367933,0.0175703812164276,0.0156947176207682,1719410410.82558,1388064872.38909,0.807291187519684
"Propension alta","2023-06","Ejecutivo=0, Correos=2",2602,857,32.9362029208301,1.74445071055508,6308346.94888547,27.3820138355111,1.54948034624851,6237347.00233372,27.2613768961494,0.0174445071055508,0.0154948034624851,1439737588.98467,1248924788.59781,0.867466959363463
"Propension alta","2023-06","Ejecutivo=0, Correos=3",6781,2283,33.6676006488718,1.7530962973589,6091648.47869046,27.4696947352898,1.56609073027467,5642932.86070959,27.3420937363119,0.017530962973589,0.0156609073027467,3735638513.88355,3053576225.46302,0.817417481406288
"Propension alta","2023-06","Ejecutivo=0, Correos=4",11156,3743,33.5514521333811,1.75025793322571,5509800.24085694,27.6109716744353,1.55415183197377,5537347.55971146,27.57093240716,0.0175025793322571,0.0155415183197377,5559551691.34211,4914934027.79359,0.884052222312749
"Propension alta","2023-06","Ejecutivo=1, Correos=0",3129,1038,33.1735378715245,1.74662899125912,7746274.9472675,27.3381271971876,1.54122173096596,6880977.20231214,27.1445086705202,0.0174662899125912,0.0154122173096596,2140593071.56249,1652032221.27915,0.771763789776858
"Propension alta","2023-06","Ejecutivo=1, Correos=1",3520,1132,32.1590909090909,1.75397618072001,7903161.003125,27.4795454545455,1.54605094666193,7042788.61484099,27.5901060070671,0.0175397618072001,0.0154605094666193,2405282682.67925,1881422168.65741,0.782204180076534
"Propension alta","2023-06","Ejecutivo=1, Correos=2",20984,6673,31.8004193671369,1.74493957394973,7935516.87352268,27.4990945482272,1.52748913163097,7232942.0392627,27.4257455417354,0.0174493957394973,0.0152748913163097,14168896921.169,11176024614.4482,0.788771679025393
