categoria_clusterizacion_numerica,probabilidad_simular,Tratamiento
40,0.008677896886166412,"Ejecutivo=0.0, Correos=1"
40,0.008342227790926107,"Ejecutivo=0.0, Correos=2"
40,0.022138691663959657,"Ejecutivo=0.0, Correos=3"
40,0.03636673008801646,"Ejecutivo=0.0, Correos=4"
40,0.01041502312558974,"Ejecutivo=1.0, Correos=0"
40,0.0122573359939363,"Ejecutivo=1.0, Correos=1"
40,0.07559360836543072,"Ejecutivo=1.0, Correos=2"
20,0.016081303968176967,"Ejecutivo=0.0, Correos=0"
20,0.018982245076161832,"Ejecutivo=0.0, Correos=1"
20,0.016023091103133793,"Ejecutivo=0.0, Correos=2"
20,0.04142168752627664,"Ejecutivo=0.0, Correos=3"
20,0.06780181753500857,"Ejecutivo=0.0, Correos=4"
20,0.016999773616635943,"Ejecutivo=1.0, Correos=0"
20,0.019291096665696453,"Ejecutivo=1.0, Correos=1"
20,0.1189919472203357,"Ejecutivo=1.0, Correos=2"
77,0.006156722065812975,"Ejecutivo=0.0, Correos=0"
77,0.007086347995438905,"Ejecutivo=0.0, Correos=1"
77,0.005758130758130758,"Ejecutivo=0.0, Correos=2"
77,0.01426603699330972,"Ejecutivo=0.0, Correos=3"
77,0.023547159910796273,"Ejecutivo=0.0, Correos=4"
77,0.012117932572478026,"Ejecutivo=1.0, Correos=0"
77,0.01307026307026307,"Ejecutivo=1.0, Correos=1"
77,0.07566171202534838,"Ejecutivo=1.0, Correos=2"
37,0.017117366861612388,"Ejecutivo=0.0, Correos=0"
37,0.019855251313051825,"Ejecutivo=0.0, Correos=1"
37,0.01691616141744019,"Ejecutivo=0.0, Correos=2"
37,0.04370927452768885,"Ejecutivo=0.0, Correos=3"
37,0.07102999302487793,"Ejecutivo=0.0, Correos=4"
37,0.015141082276632148,"Ejecutivo=1.0, Correos=0"
37,0.01726044628857928,"Ejecutivo=1.0, Correos=1"
37,0.10555535683412921,"Ejecutivo=1.0, Correos=2"
42,0.009778481476594684,"Ejecutivo=0.0, Correos=0"
42,0.011786955183181598,"Ejecutivo=0.0, Correos=1"
42,0.010445529313453841,"Ejecutivo=0.0, Correos=2"
42,0.027642169151603113,"Ejecutivo=0.0, Correos=3"
42,0.0448241485977335,"Ejecutivo=0.0, Correos=4"
42,0.017533828854583572,"Ejecutivo=1.0, Correos=0"
42,0.020172699417982436,"Ejecutivo=1.0, Correos=1"
42,0.12215771649733914,"Ejecutivo=1.0, Correos=2"
31,0.006387531039652668,"Ejecutivo=0.0, Correos=0"
31,0.008670279500033838,"Ejecutivo=0.0, Correos=1"
31,0.007915436793636415,"Ejecutivo=0.0, Correos=2"
31,0.021359445685162917,"Ejecutivo=0.0, Correos=3"
31,0.03552706241247729,"Ejecutivo=0.0, Correos=4"
31,0.011447580078399525,"Ejecutivo=1.0, Correos=0"
31,0.013014529420645208,"Ejecutivo=1.0, Correos=1"
31,0.08217373876195384,"Ejecutivo=1.0, Correos=2"
49,0.0064034267574090585,"Ejecutivo=0.0, Correos=0"
49,0.008914787675849623,"Ejecutivo=0.0, Correos=1"
49,0.007818558703514457,"Ejecutivo=0.0, Correos=2"
49,0.021681778318946462,"Ejecutivo=0.0, Correos=3"
49,0.0359146354721576,"Ejecutivo=0.0, Correos=4"
49,0.010902495415769752,"Ejecutivo=1.0, Correos=0"
49,0.012404600900176121,"Ejecutivo=1.0, Correos=1"
49,0.07784856457422829,"Ejecutivo=1.0, Correos=2"
87,0.009607283598314989,"Ejecutivo=0.0, Correos=0"
87,0.010630520451148253,"Ejecutivo=0.0, Correos=1"
87,0.00856230466095937,"Ejecutivo=0.0, Correos=2"
87,0.0214050822122571,"Ejecutivo=0.0, Correos=3"
87,0.035093083299361325,"Ejecutivo=0.0, Correos=4"
87,0.017984780540834352,"Ejecutivo=1.0, Correos=0"
87,0.019755401549123523,"Ejecutivo=1.0, Correos=1"
87,0.11360782715042805,"Ejecutivo=1.0, Correos=2"
98,0.011255060065227723,"Ejecutivo=0.0, Correos=0"
98,0.012541586770899914,"Ejecutivo=0.0, Correos=1"
98,0.010144713768294083,"Ejecutivo=0.0, Correos=2"
98,0.025386367733582445,"Ejecutivo=0.0, Correos=3"
98,0.04021215398987168,"Ejecutivo=0.0, Correos=4"
98,0.013922349509153187,"Ejecutivo=1.0, Correos=0"
98,0.015131029057475785,"Ejecutivo=1.0, Correos=1"
98,0.08743055214120656,"Ejecutivo=1.0, Correos=2"
46,0.016515573767482163,"Ejecutivo=0.0, Correos=0"
46,0.019825664863832804,"Ejecutivo=0.0, Correos=1"
46,0.01646049737652791,"Ejecutivo=0.0, Correos=2"
46,0.04289716503456961,"Ejecutivo=0.0, Correos=3"
46,0.06965694751954293,"Ejecutivo=0.0, Correos=4"
46,0.016045588564672534,"Ejecutivo=1.0, Correos=0"
46,0.018268838879525903,"Ejecutivo=1.0, Correos=1"
46,0.11070721757744659,"Ejecutivo=1.0, Correos=2"
25,0.011453670833976437,"Ejecutivo=0.0, Correos=0"
25,0.014038946339455677,"Ejecutivo=0.0, Correos=1"
25,0.012376524154962185,"Ejecutivo=0.0, Correos=2"
25,0.03192686628594948,"Ejecutivo=0.0, Correos=3"
25,0.05241935483870968,"Ejecutivo=0.0, Correos=4"
25,0.013903894633945568,"Ejecutivo=1.0, Correos=0"
25,0.015653135771981273,"Ejecutivo=1.0, Correos=1"
25,0.09637225394865463,"Ejecutivo=1.0, Correos=2"
90,0.014427402189893138,"Ejecutivo=0.0, Correos=0"
90,0.01564522853443925,"Ejecutivo=0.0, Correos=1"
90,0.012320891756083646,"Ejecutivo=0.0, Correos=2"
90,0.03056634410725649,"Ejecutivo=0.0, Correos=3"
90,0.04802185504575077,"Ejecutivo=0.0, Correos=4"
90,0.02135036095933996,"Ejecutivo=1.0, Correos=0"
90,0.02429069843986571,"Ejecutivo=1.0, Correos=1"
90,0.13732912031246572,"Ejecutivo=1.0, Correos=2"
21,0.005506935762338513,"Ejecutivo=0.0, Correos=0"
21,0.007352503423230339,"Ejecutivo=0.0, Correos=1"
21,0.006656694647853783,"Ejecutivo=0.0, Correos=2"
21,0.018634279930940047,"Ejecutivo=0.0, Correos=3"
21,0.031236976841102576,"Ejecutivo=0.0, Correos=4"
21,0.014690123236292195,"Ejecutivo=1.0, Correos=0"
21,0.01665103887598976,"Ejecutivo=1.0, Correos=1"
21,0.10321039471334167,"Ejecutivo=1.0, Correos=2"
28,0.016307073464555122,"Ejecutivo=0.0, Correos=0"
28,0.019342029749809992,"Ejecutivo=0.0, Correos=1"
28,0.016438915688190555,"Ejecutivo=0.0, Correos=2"
28,0.04275565758247894,"Ejecutivo=0.0, Correos=3"
28,0.06861482940650318,"Ejecutivo=0.0, Correos=4"
28,0.016733621835140346,"Ejecutivo=1.0, Correos=0"
28,0.01885860826314674,"Ejecutivo=1.0, Correos=1"
28,0.11516806005801059,"Ejecutivo=1.0, Correos=2"
18,0.014623688567854638,"Ejecutivo=0.0, Correos=0"
18,0.016666305141609366,"Ejecutivo=0.0, Correos=1"
18,0.013929560457835333,"Ejecutivo=0.0, Correos=2"
18,0.03627180899908173,"Ejecutivo=0.0, Correos=3"
18,0.05916357562742674,"Ejecutivo=0.0, Correos=4"
18,0.02061054351677115,"Ejecutivo=1.0, Correos=0"
18,0.023712428508419918,"Ejecutivo=1.0, Correos=1"
18,0.14643933971063536,"Ejecutivo=1.0, Correos=2"
97,0.011719459754103325,"Ejecutivo=0.0, Correos=0"
97,0.012688510689843134,"Ejecutivo=0.0, Correos=1"
97,0.010036238467284436,"Ejecutivo=0.0, Correos=2"
97,0.025990248924959117,"Ejecutivo=0.0, Correos=3"
97,0.04192659439161771,"Ejecutivo=0.0, Correos=4"
97,0.013034239799729473,"Ejecutivo=1.0, Correos=0"
97,0.0142076999172269,"Ejecutivo=1.0, Correos=1"
97,0.08311378273070479,"Ejecutivo=1.0, Correos=2"
81,0.013930891015511152,"Ejecutivo=0.0, Correos=0"
81,0.015615432539459717,"Ejecutivo=0.0, Correos=1"
81,0.012088590840907085,"Ejecutivo=0.0, Correos=2"
81,0.030440734887924512,"Ejecutivo=0.0, Correos=3"
81,0.048901170890052914,"Ejecutivo=0.0, Correos=4"
81,0.02099526991435577,"Ejecutivo=1.0, Correos=0"
81,0.023393736179406346,"Ejecutivo=1.0, Correos=1"
81,0.13510290409610978,"Ejecutivo=1.0, Correos=2"
32,0.006135177276116874,"Ejecutivo=0.0, Correos=0"
32,0.008185885702664226,"Ejecutivo=0.0, Correos=1"
32,0.007591575712381082,"Ejecutivo=0.0, Correos=2"
32,0.020653966962691794,"Ejecutivo=0.0, Correos=3"
32,0.03444625223148713,"Ejecutivo=0.0, Correos=4"
32,0.011787901385216822,"Ejecutivo=1.0, Correos=0"
32,0.013999050911802589,"Ejecutivo=1.0, Correos=1"
32,0.08591846880437484,"Ejecutivo=1.0, Correos=2"
